# Measurements of the power spectrum of the gravitational lensing potential Planck 2018, power is 10^7 [l(l+1)]^2 C_l^phiphi / 2pi
# l_min   l_center   l_max    power   sigma_power   upper limit
   8      15.3      20     1.327      0.248     
  21      31.0      39     1.484      0.154     
  40      53.1      65     1.434      0.107     
  66      83.0     100     1.163      0.057     
 101     121.5     144     0.868      0.045     
 145     169.2     198     0.611      0.041     
 199     227.5     263     0.467      0.041     
 264     298.4     338     0.420      0.038     
 339     381.2     425     0.282      0.037     
 426     473.5     525     0.202      0.030     
 526     577.2     637     0.131      0.030     
 638     697.1     762     0.054      0.028     
 763     827.6     901     0.072      0.026     
 902    1202.4    2048     0.036      0.016     
