# plik lowl lowE chi_eff_sq As ns tau
2.640845e+03 6.379095e+01 3.961045e+02 3.100741e+03 2.14903757 0.96438735 0.06402059
3.624862e+04 2.000000e+30 3.977695e+02 2.000000e+30 2.37290695 1.08207494 0.05410538
1.154060e+05 6.967263e+01 3.986457e+02 1.158743e+05 2.71130092 1.04659365 0.04325525
2.693244e+05 6.780687e+01 3.988829e+02 2.697911e+05 3.21520591 0.95001463 0.03622731
3.240996e+05 5.833125e+01 4.009555e+02 3.245588e+05 3.24863474 0.98057553 0.03099341
1.087818e+05 6.921775e+01 4.096615e+02 1.092607e+05 3.08662586 0.90602774 0.07888004
2.501814e+05 4.636468e+01 3.983213e+02 2.506261e+05 3.27237758 1.02172546 0.06920945
3.320640e+05 6.264882e+01 3.975603e+02 3.325242e+05 3.35610878 1.08677105 0.07274204
3.491134e+05 4.892873e+01 3.987745e+02 3.495611e+05 3.48265542 1.02012362 0.06841638
5.828987e+03 2.000000e+30 3.997888e+02 2.000000e+30 2.04465374 1.07346254 0.04780470
7.374944e+04 2.000000e+30 3.961751e+02 2.000000e+30 1.51922620 0.94383931 0.06171530
4.233116e+04 4.913344e+01 4.064339e+02 4.278673e+04 2.76018650 0.90789687 0.07808266
4.050074e+03 3.785005e+01 4.031998e+02 4.491124e+03 2.20523594 0.90827194 0.07964585
4.107964e+03 6.108215e+01 3.958861e+02 4.564932e+03 2.06206996 0.94900120 0.06137989
9.803384e+03 2.000000e+30 3.960390e+02 2.000000e+30 1.91923186 0.98173032 0.06123397
6.391220e+03 3.815862e+01 4.016750e+02 6.831053e+03 2.38085304 0.90149861 0.07299275
2.363272e+04 7.744357e+01 3.961939e+02 2.410635e+04 1.79144575 0.93149670 0.05297741
3.300400e+03 6.565709e+01 3.963248e+02 3.762382e+03 2.20530754 0.97421710 0.06564330
4.425100e+04 4.575352e+01 3.967169e+02 4.469347e+04 2.61627260 0.98031215 0.06462541
4.303544e+04 2.000000e+30 3.974162e+02 2.000000e+30 1.61674074 1.00325271 0.05742347
1.253470e+05 4.574346e+01 3.963275e+02 1.257891e+05 2.88808012 0.96772648 0.04889590
3.223924e+03 4.139577e+01 3.993018e+02 3.664622e+03 2.25952414 0.92907858 0.07235739
1.136980e+04 3.964460e+01 3.980729e+02 1.180752e+04 2.41574149 0.93334630 0.06722563
2.817810e+03 5.726635e+01 3.986288e+02 3.273705e+03 2.22720858 0.96187333 0.07448341
2.662127e+03 5.783074e+01 3.984705e+02 3.118428e+03 2.20431946 0.95991056 0.07417450
3.190440e+04 2.000000e+30 3.974860e+02 2.000000e+30 1.78151459 0.96231760 0.07552724
4.565053e+03 2.000000e+30 3.966481e+02 2.000000e+30 2.04292470 0.99807509 0.07117437
1.545274e+04 2.000000e+30 3.970950e+02 2.000000e+30 1.88890347 0.99997180 0.07520539
3.700171e+04 4.224007e+01 3.961304e+02 3.744008e+04 2.56822092 0.95896273 0.05879399
4.279094e+03 3.959441e+01 3.971873e+02 4.715876e+03 2.27577591 0.92215569 0.06461368
